,Address,Ins,Outs,Balance,Label,In_amount,Out_amount,Total,First_in,Last_in,First_out,Last_out,Address_length,Percentage,Diff,Percentage_ins,Percentage_outs,Percentage_diff,Interval_in,Interval_out,Interval_diff,Interval_first,Interval_in_days,Interval_out_days,Interval_first_days,Avg_acc_in,Avg_acc_out,Diff_avg_acc,Last_transaction,Interval_from_last_tx,Interval_from_last_tx_days,Last_future,genesis,First in,genesis_to_first_in,genesis_to_first_in_days
31,DPky8skSdy16gn8yYGFbjVcgqQn39SU8am,6.0,5.0,453879285.0,Exchange,453879290.26287764,5.04121222,11.0,2021-12-02 14:05:00,2021-12-29 05:28:00,2022-03-09 08:01:00,2022-03-09 08:01:00,34,0.3421114683048165,1.0,54.54545454545454,45.45454545454545,9.090909090909092,26 days 15:23:00.000000000,0 days 00:00:00.000000000,26 days 15:23:00.000000000,96 days 17:56:00.000000000,26.0,0.0,96.0,17456895.779341448,inf,-inf,2022-03-09 08:01:00,125 days 08:59:00.000000000,125.0,False,2013-12-06 00:00:00,2021-12-02 14:05:00,2918 days 14:05:00.000000000,2918.0
32,DQfmzdceKQTUv7RnnWJ6zxYfCBvxnPn1B8,6.0,0.0,434873911.0,,434873910.66998863,0.0,6.0,2022-05-05 19:13:00,2022-06-20 22:00:00,,,34,0.32778616944297884,6.0,100.0,0.0,100.0,46 days 02:47:00.000000000,,,,46.0,,,9453780.666738883,,,2022-06-20 22:00:00,21 days 19:00:00.000000000,21.0,False,2013-12-06 00:00:00,2022-05-05 19:13:00,3072 days 19:13:00.000000000,3072.0
33,DMJsqFNLTHaDsj4cGfzdYpTJ4SJUxPquYP,159.0,55.0,401000070.0,,111.84034853,0.0,214.0,2019-05-13 01:08:00,2021-12-30 21:05:00,2019-05-13 01:22:00,2021-04-15 15:59:00,34,0.3022537649807794,104.0,74.29906542056075,25.70093457943925,48.598130841121495,962 days 19:57:00.000000000,703 days 14:37:00.000000000,259 days 05:20:00.000000000,0 days 00:14:00.000000000,962.0,703.0,0.0,0.11625815855509355,0.0,0.11625815855509355,2021-12-30 21:05:00,193 days 19:55:00.000000000,193.0,False,2013-12-06 00:00:00,2019-05-13 01:08:00,1984 days 01:08:00.000000000,1984.0
34,DEpFaVzjmQVYh4RWiCDSwnc6XyvQaxuyr8,8.0,0.0,380000007.0,,380000006.7312122,0.0,8.0,2019-05-13 19:45:00,2021-12-31 05:31:00,,,34,0.28642496947312884,8.0,100.0,0.0,100.0,962 days 09:46:00.000000000,,,,962.0,,,395010.4020074971,,,2021-12-31 05:31:00,193 days 11:29:00.000000000,193.0,False,2013-12-06 00:00:00,2019-05-13 19:45:00,1984 days 19:45:00.000000000,1984.0
35,D9QroTckMcABx2MHftswKFENcXngL8scUh,7.0,0.0,326383479.0,,326383478.81121224,0.0,7.0,2021-03-23 16:14:00,2021-12-31 05:31:00,,,34,0.2460115165448104,7.0,100.0,0.0,100.0,282 days 13:17:00.000000000,,,,282.0,,,1157388.2227347952,,,2021-12-31 05:31:00,193 days 11:29:00.000000000,193.0,False,2013-12-06 00:00:00,2021-03-23 16:14:00,2664 days 16:14:00.000000000,2664.0
36,DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC,250243.0,249910.0,325032906.0,,16194278722.575428,15876254417.723654,500153.0,2021-11-17 09:09:00,2022-07-12 13:46:00,2021-11-24 04:33:00,2022-07-12 13:46:00,34,0.2449935222733097,333.0,50.033289813317126,49.966710186682874,0.06657962663424992,237 days 04:37:00.000000000,230 days 09:13:00.000000000,6 days 19:24:00.000000000,6 days 19:24:00.000000000,237.0,230.0,6.0,68330289.9686727,69027193.12053762,-696903.151864931,2022-07-12 13:46:00,0 days 03:14:00.000000000,0.0,False,2013-12-06 00:00:00,2021-11-17 09:09:00,2903 days 09:09:00.000000000,2903.0
37,DGf7a1UXruciKiKWvW9cFVoERQtAxg6jga,8.0,0.0,300000007.0,,300000007.0412122,0.0,8.0,2018-02-22 19:38:00,2021-12-31 05:31:00,,,34,0.22612497701062786,8.0,100.0,0.0,100.0,1407 days 09:53:00.000000000,,,,1407.0,,,213219.62120910603,,,2021-12-31 05:31:00,193 days 11:29:00.000000000,193.0,False,2013-12-06 00:00:00,2018-02-22 19:38:00,1539 days 19:38:00.000000000,1539.0
38,DHyyCZW7Amsvwcfhg6seYnvT7uyW4YdyZc,261.0,260.0,292685236.0,,3146333871.714836,2853648635.679628,521.0,2021-07-02 17:30:00,2022-07-06 21:48:00,2021-07-27 20:55:00,2022-07-06 21:48:00,34,0.22061146905856638,1.0,50.09596928982726,49.90403071017274,0.19193857965451055,369 days 04:18:00.000000000,344 days 00:53:00.000000000,25 days 03:25:00.000000000,25 days 03:25:00.000000000,369.0,344.0,25.0,8526650.058847794,8295490.2199989185,231159.83884887584,2022-07-06 21:48:00,5 days 19:12:00.000000000,5.0,False,2013-12-06 00:00:00,2021-07-02 17:30:00,2765 days 17:30:00.000000000,2765.0
39,DQHqNvgsikHvkE8YrCsL6d1pxZ7DR5s2HW,56194.0,26931.0,292414318.0,,562424078.1231276,270009760.18633294,83125.0,2015-11-26 03:57:00,2021-12-31 05:35:00,2015-12-04 05:03:00,2016-09-18 08:54:00,34,0.2204072646415919,29263.0,67.6018045112782,32.398195488721804,35.20360902255639,2227 days 01:38:00.000000000,289 days 03:51:00.000000000,1937 days 21:47:00.000000000,8 days 01:06:00.000000000,2227.0,289.0,8.0,252547.8572622935,934289.8276343701,-681741.9703720766,2021-12-31 05:35:00,193 days 11:25:00.000000000,193.0,False,2013-12-06 00:00:00,2015-11-26 03:57:00,720 days 03:57:00.000000000,720.0
40,D7vrVREYM4H9Vbtoqi6mxsmzsuVjE6PDet,51.0,39.0,289359498.0,,7649037631.74836,7359678134.161363,90.0,2022-03-10 10:39:00,2022-07-03 11:56:00,2022-03-12 06:40:00,2022-07-03 11:56:00,34,0.2181046943544132,12.0,56.666666666666664,43.333333333333336,13.333333333333334,115 days 01:17:00.000000000,113 days 05:16:00.000000000,1 days 20:01:00.000000000,1 days 20:01:00.000000000,115.0,113.0,1.0,66513370.710855305,65129894.99257843,1383475.7182768732,2022-07-03 11:56:00,9 days 05:04:00.000000000,9.0,False,2013-12-06 00:00:00,2022-03-10 10:39:00,3016 days 10:39:00.000000000,3016.0
41,DLH6o3PPPupQY5bKFw8sVDw477zkdzxRKe,145.0,55.0,274851003.0,,761615561.0665468,486764557.7960826,200.0,2021-05-04 12:59:00,2021-12-31 05:39:00,2021-05-04 13:11:00,2021-08-19 13:25:00,34,0.20716891761513528,90.0,72.5,27.500000000000004,45.0,240 days 16:40:00.000000000,107 days 00:14:00.000000000,133 days 16:26:00.000000000,0 days 00:12:00.000000000,240.0,107.0,0.0,3173398.171110612,4549201.474729744,-1375803.303619132,2021-12-31 05:39:00,193 days 11:21:00.000000000,193.0,False,2013-12-06 00:00:00,2021-05-04 12:59:00,2706 days 12:59:00.000000000,2706.0
42,DK1D2fkQmT8T7ToboCh5j2pPdnvq1H1H9e,1.0,0.0,258492753.0,,258492753.43428648,0.0,1.0,2022-07-04 18:29:00,2022-07-04 18:29:00,,,34,0.19483888821888898,1.0,100.0,0.0,100.0,0 days 00:00:00.000000000,,,,0.0,,,inf,,,2022-07-04 18:29:00,7 days 22:31:00.000000000,7.0,False,2013-12-06 00:00:00,2022-07-04 18:29:00,3132 days 18:29:00.000000000,3132.0
43,D79tQ1VkKn9v2BekHShAZSq2m8XtUA8VEP,147.0,136.0,250000006.0,,6780000040.1412115,6530000034.0,283.0,2021-05-18 04:32:00,2022-07-07 09:53:00,2021-05-18 12:30:00,2022-07-08 08:26:00,34,0.18843748096781487,11.0,51.9434628975265,48.0565371024735,3.8869257950530036,415 days 05:21:00.000000000,415 days 19:56:00.000000000,-1 days +09:25:00.000000000,0 days 07:58:00.000000000,415.0,415.0,0.0,16337349.494316172,15734939.840963855,602409.6533523165,2022-07-08 08:26:00,4 days 08:34:00.000000000,4.0,False,2013-12-06 00:00:00,2021-05-18 04:32:00,2720 days 04:32:00.000000000,2720.0
