,Address,Total,Balance,Label,Outs,Ins,In_amount,Out_amount,First_in,Last_in,First_out,Last_out,Address_length,Percentage,Diff,Percentage_ins,Percentage_outs,Percentage_diff,Interval_in,Interval_out,Interval_diff,Interval_first,Interval_in_days,Interval_out_days,Interval_first_days,Avg_acc_in,Avg_acc_out,Diff_avg_acc,Last_transaction,Interval_from_last_tx,Interval_from_last_tx_days,Last_future,genesis,First in,genesis_to_first_in,genesis_to_first_in_days
39,0xbddf00563c9abd25b576017f08c46982012f12be,295,203815.187217,,0,295,347654.87133600004,143839.684119,2021-04-21 01:51:00,2022-07-09 02:58:00,,,42,0.16772587833669803,295,100.0,0.0,100.0,444 days 01:07:00.000000000,,,,444.0,,,783.006466972973,,,2022-07-09 02:58:00,3 days 14:02:00.000000000,3.0,False,2015-07-30 00:00:00,2021-04-21 01:51:00,2092 days 01:51:00.000000000,2092.0
40,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,50,200001.66458399998,Exchange,6,44,400006.773719,200005.09886600001,2020-06-02 05:15:00,2022-03-31 14:14:00,2020-06-02 05:46:00,2021-06-30 14:45:00,42,0.16458761154750237,38,88.0,12.0,76.0,667 days 08:59:00.000000000,393 days 08:59:00.000000000,274 days 00:00:00.000000000,0 days 00:31:00.000000000,667.0,393.0,0.0,599.710305425787,508.9188266310433,90.79147879474374,2022-03-31 14:14:00,103 days 02:46:00.000000000,103.0,False,2015-07-30 00:00:00,2020-06-02 05:15:00,1769 days 05:15:00.000000000,1769.0
41,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,37,200000.10703597,Exchange,0,37,200000.10703597133,0.0,2019-03-18 04:02:00,2021-12-26 10:37:00,,,42,0.1645863297926197,37,100.0,0.0,100.0,1014 days 06:35:00.000000000,,,,1014.0,,,197.23876433527744,,,2021-12-26 10:37:00,198 days 06:23:00.000000000,198.0,False,2015-07-30 00:00:00,2019-03-18 04:02:00,1327 days 04:02:00.000000000,1327.0
42,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,44,200000.0,,0,44,229492.9827233863,29492.98272338629,2021-03-10 19:54:00,2022-05-17 19:37:00,,,42,0.16458624170937955,44,100.0,0.0,100.0,432 days 23:43:00.000000000,,,,432.0,,,531.2337563041349,,,2022-05-17 19:37:00,55 days 21:23:00.000000000,55.0,False,2015-07-30 00:00:00,2021-03-10 19:54:00,2050 days 19:54:00.000000000,2050.0
43,0xa160cdab225685da1d56aa342ad8841c3b53f291,8385,198300.0,,0,8385,2918300.0,2720500.0,2019-12-25 18:02:00,2022-07-01 03:21:00,,,42,0.16318725865484981,8385,100.0,0.0,100.0,918 days 09:19:00.000000000,,,,918.0,,,3178.9760348583877,,,2022-07-01 03:21:00,11 days 13:39:00.000000000,11.0,False,2015-07-30 00:00:00,2019-12-25 18:02:00,1609 days 18:02:00.000000000,1609.0
44,0xcdbf58a9a9b54a2c43800c50c7192946de858321,72,193799.07497000002,,5,67,215810.08000999998,22010.998928999998,2017-10-27 13:35:00,2022-07-04 06:54:00,2017-10-27 13:37:00,2022-02-28 11:49:00,42,0.15948330698033295,62,93.05555555555556,6.944444444444445,86.11111111111111,1710 days 17:19:00.000000000,1584 days 22:12:00.000000000,125 days 19:07:00.000000000,0 days 00:02:00.000000000,1710.0,1584.0,0.0,126.20472515204676,13.895832657196967,112.3088924948498,2022-07-04 06:54:00,8 days 10:06:00.000000000,8.0,False,2015-07-30 00:00:00,2017-10-27 13:35:00,820 days 13:35:00.000000000,820.0
45,0x66f820a414680b5bcda5eeca5dea238543f42054,185,188508.62367176,Exchange,143,42,1650602.6875310803,1462093.0649370002,2019-01-09 00:04:00,2022-06-16 06:18:00,2019-01-09 23:03:00,2022-06-28 19:43:00,42,0.1551296294997138,-101,22.702702702702705,77.29729729729729,-54.59459459459459,1254 days 06:14:00.000000000,1265 days 20:40:00.000000000,-12 days +09:34:00.000000000,0 days 22:59:00.000000000,1254.0,1265.0,0.0,1316.2700857504628,1155.804794416601,160.46529133386184,2022-06-28 19:43:00,13 days 21:17:00.000000000,13.0,False,2015-07-30 00:00:00,2019-01-09 00:04:00,1259 days 00:04:00.000000000,1259.0
46,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,33,187068.1956,,1,32,187073.19602,5.0,2017-03-26 02:56:00,2022-07-04 06:55:00,2017-03-26 03:01:00,2017-03-26 03:01:00,42,0.15394425628579544,31,96.96969696969697,3.0303030303030303,93.93939393939394,1926 days 03:59:00.000000000,0 days 00:00:00.000000000,1926 days 03:59:00.000000000,0 days 00:05:00.000000000,1926.0,0.0,0.0,97.13042368639668,inf,-inf,2022-07-04 06:55:00,8 days 10:05:00.000000000,8.0,False,2015-07-30 00:00:00,2017-03-26 02:56:00,605 days 02:56:00.000000000,605.0
47,0x7d812b62dc15e6f4073eba8a2ba8db19c4e40704,1801,181199.52948235,,1636,165,455034.3866832024,273828.0626,2020-11-04 12:57:00,2022-07-09 03:15:00,2020-11-04 13:08:00,2022-07-12 14:20:00,42,0.1491147477850395,-1471,9.161576901721267,90.83842309827872,-81.67684619655748,611 days 14:18:00.000000000,615 days 01:12:00.000000000,-4 days +13:06:00.000000000,0 days 00:11:00.000000000,611.0,615.0,0.0,744.7371304144066,445.24888227642276,299.4882481379838,2022-07-12 14:20:00,0 days 02:40:00.000000000,0.0,False,2015-07-30 00:00:00,2020-11-04 12:57:00,1924 days 12:57:00.000000000,1924.0
48,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,132443,179934.95634821,,0,132443,1116435.4563482124,936500.5,2021-02-25 10:30:00,2022-07-12 10:30:00,,,42,0.14807409108746572,132443,100.0,0.0,100.0,502 days 00:00:00.000000000,,,,502.0,,,2223.9750126458416,,,2022-07-12 10:30:00,0 days 06:30:00.000000000,0.0,False,2015-07-30 00:00:00,2021-02-25 10:30:00,2037 days 10:30:00.000000000,2037.0
49,0x36a85757645e8e8aec062a1dee289c7d615901ca,26,177328.30765968,Exchange,0,26,177328.30765968,0.0,2021-01-14 10:54:00,2022-01-01 15:47:00,,,42,0.14592899853195657,26,100.0,0.0,100.0,352 days 04:53:00.000000000,,,,352.0,,,503.7736013059091,,,2022-01-01 15:47:00,192 days 01:13:00.000000000,192.0,False,2015-07-30 00:00:00,2021-01-14 10:54:00,1995 days 10:54:00.000000000,1995.0
50,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,7,176818.52352084,,0,7,176818.5235208467,0.0,2018-12-01 00:07:00,2022-07-07 06:45:00,,,42,0.14550948125448293,7,100.0,0.0,100.0,1314 days 06:38:00.000000000,,,,1314.0,,,134.56508639333845,,,2022-07-07 06:45:00,5 days 10:15:00.000000000,5.0,False,2015-07-30 00:00:00,2018-12-01 00:07:00,1220 days 00:07:00.000000000,1220.0
51,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,11,172592.06179937,,0,11,172592.06179937648,0.0,2018-12-01 00:17:00,2022-07-07 12:47:00,,,42,0.14203139400215642,11,100.0,0.0,100.0,1314 days 12:30:00.000000000,,,,1314.0,,,131.34860106497447,,,2022-07-07 12:47:00,5 days 04:13:00.000000000,5.0,False,2015-07-30 00:00:00,2018-12-01 00:17:00,1220 days 00:17:00.000000000,1220.0
52,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,82,172038.06720675,,42,40,805247.0118729473,633206.0,2016-01-22 16:52:00,2022-07-04 06:56:00,2016-01-22 17:01:00,2021-01-06 13:55:00,42,0.1415754945625232,-2,48.78048780487805,51.21951219512195,-2.4390243902439024,2354 days 14:04:00.000000000,1810 days 20:54:00.000000000,543 days 17:10:00.000000000,0 days 00:09:00.000000000,2354.0,1810.0,0.0,342.0760458253812,349.8375690607735,-7.761523235392303,2022-07-04 06:56:00,8 days 10:04:00.000000000,8.0,False,2015-07-30 00:00:00,2016-01-22 16:52:00,176 days 16:52:00.000000000,176.0
53,0xdc1487e092caba080c6badafaa75a58ce7a2ec34,239,171371.28401292,,91,148,288524.76186621236,117153.24,2021-02-24 13:25:00,2022-07-04 06:59:00,2021-02-24 14:40:00,2022-07-04 08:53:00,42,0.1410267778629859,57,61.92468619246861,38.07531380753138,23.84937238493724,494 days 17:34:00.000000000,494 days 18:13:00.000000000,-1 days +23:21:00.000000000,0 days 01:15:00.000000000,494.0,494.0,0.0,584.0582224012396,237.15230769230772,346.9059147089319,2022-07-04 08:53:00,8 days 08:07:00.000000000,8.0,False,2015-07-30 00:00:00,2021-02-24 13:25:00,2036 days 13:25:00.000000000,2036.0
54,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,7,169861.72849572,,0,7,169861.7284957248,0.0,2018-12-01 00:10:00,2022-07-07 23:35:00,,,42,0.13978451751684787,7,100.0,0.0,100.0,1314 days 23:25:00.000000000,,,,1314.0,,,129.27072183845112,,,2022-07-07 23:35:00,4 days 17:25:00.000000000,4.0,False,2015-07-30 00:00:00,2018-12-01 00:10:00,1220 days 00:10:00.000000000,1220.0
55,0x8b83b9c4683aa4ec897c569010f09c6d04608163,7,169861.72849572,,0,7,169861.7284957248,0.0,2018-12-01 00:09:00,2022-07-07 23:35:00,,,42,0.13978451751684787,7,100.0,0.0,100.0,1314 days 23:26:00.000000000,,,,1314.0,,,129.27072183845112,,,2022-07-07 23:35:00,4 days 17:25:00.000000000,4.0,False,2015-07-30 00:00:00,2018-12-01 00:09:00,1220 days 00:09:00.000000000,1220.0
56,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,45,169031.99351958,,10,35,338066.22001,169034.22,2015-10-13 04:03:00,2022-06-19 11:36:00,2016-07-27 06:48:00,2016-07-30 02:42:00,42,0.13910170271015934,25,77.77777777777779,22.22222222222222,55.55555555555556,2441 days 07:33:00.000000000,2 days 19:54:00.000000000,2438 days 11:39:00.000000000,288 days 02:45:00.000000000,2441.0,2.0,288.0,138.49496927898403,84517.11,-84378.61503072102,2022-06-19 11:36:00,23 days 05:24:00.000000000,23.0,False,2015-07-30 00:00:00,2015-10-13 04:03:00,75 days 04:03:00.000000000,75.0
57,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,16,167720.90830506,,0,16,167720.90830506347,0.0,2018-12-01 14:48:00,2022-07-08 14:11:00,,,42,0.13802276977006644,16,100.0,0.0,100.0,1314 days 23:23:00.000000000,,,,1314.0,,,127.6414827283588,,,2022-07-08 14:11:00,4 days 02:49:00.000000000,4.0,False,2015-07-30 00:00:00,2018-12-01 14:48:00,1220 days 14:48:00.000000000,1220.0
