,Address,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Balance,Label,In_amount,Out_amount
59,DCLHWoDUWkfM6ejSBPnV64wBgcDnn8twEp,0.1220%,08/07/2022 08:26,08/07/2022 08:26,1.0,,,,164999999.0,,164999999.0,0.0
60,DR2SpAVZPwJDVxJgTkJvGej3HC5aLBhQBM,0.1210%,26/03/2017 11:47,01/01/2022 20:20,135.0,26/03/2017 18:59,18/03/2018 16:49,119.0,163708101.0,Exchange,960820917.0970643,797112815.873881
61,DEnzooCbsBkUjqKJJh7SvWfSwKxBhbqyGi,0.1204%,10/02/2022 16:32,20/06/2022 22:02,8.0,,,,162867655.0,,5.04121222,0.0
62,DLPaeuaJi2JLUcvYHD4ddLxadwnGaVSt4p,0.1200%,11/02/2021 07:27,12/07/2022 13:46,259988.0,11/02/2021 07:51,12/07/2022 13:46,259377.0,162346418.0,,21571123469.637764,21408980233.375175
63,DLDPcmz1omzix37UPwXCfZvLjAEcJ2yLHb,0.1192%,13/05/2022 14:19,20/06/2022 22:02,6.0,20/06/2022 03:04,20/06/2022 22:30,5.0,161226551.0,,161226556.51379177,5.04121222
64,DF1R6bUwDcYsaqZr6bKsrmtVSnwGpQeyLn,0.1191%,17/10/2019 22:47,12/07/2022 13:06,1532.0,18/10/2019 01:31,06/07/2022 09:24,1478.0,161089350.0,,,
65,DE1ekWYKnnTRn9vctx4UDgPZczW5RdAb3S,0.1181%,19/12/2019 13:09,07/06/2022 05:38,979.0,03/01/2020 14:04,28/05/2022 07:53,531.0,159687723.0,,1015664992.5561199,855977270.0021182
66,DSVE8hQgj8XmkH5ixLJ23utaUHzRZY6MRF,0.1109%,04/02/2014 07:14,01/01/2022 20:20,23.0,,,,150000007.0,,150000007.191213,0.0
67,DEHiiX3YuFKzRFbXQLgJ6wtqgmAUN8EZaG,0.1109%,28/03/2022 18:09,01/04/2022 22:37,6.0,,,,149924195.0,,149924195.300769,0.0
68,DQ5xwLot4js7ehQ9L65iq5jxWz4DxNvhQ9,0.1082%,17/03/2019 06:13,01/01/2022 20:20,20.0,17/03/2019 06:18,30/01/2021 03:27,5.0,146402402.0,,309770979.8200832,163368577.79845
69,DEN9enVfqSNXRz5guvEzpvQeKEx82XbJyu,0.1058%,07/07/2018 06:01,01/01/2022 20:20,14.0,,,,143096272.0,,143096272.4412122,0.0
70,DRVd3RRmcUh7w8ra2HDkvNiBpYy4u4yKs1,0.09755%,06/05/2021 09:30,10/06/2022 12:53,1130.0,09/05/2021 01:16,01/07/2022 19:19,823.0,131942336.0,,463920470.4837122,331978134.1437122
71,DMoonzxadHZJmgP6cCRvFZvec8wJb67j38,0.09612%,04/07/2014 11:30,01/01/2022 20:25,26.0,12/01/2020 00:47,18/08/2020 22:11,4.0,130000026.0,,166000026.04121223,36000000.0
72,DHKM6NDUUv9kaHAGi1QU7MRBNKfQiAdP3F,0.08992%,12/05/2014 06:57,23/06/2022 00:00,549.0,,,,121621885.0,,121621884.70478664,0.0
73,D7J8gJgs79VsFYkL37c1vA3vdUNhvKVLdG,0.08919%,07/12/2021 11:09,11/07/2022 12:22,111.0,15/12/2021 14:28,11/07/2022 11:14,91.0,120630125.0,,195804198.95603448,75174073.60896745
74,DFGBxpZncATmjHgKgt527yAPJxAWP6LFWC,0.08901%,04/06/2021 00:29,24/01/2022 19:20,49.0,,,,120379269.0,,120379268.7599389,0.0
75,DCTpBbA5HUgcf39219AWtZuf76pNxM1m4e,0.08888%,03/06/2021 18:32,24/01/2022 18:24,49.0,,,,120203362.0,,120203362.12154523,0.0
76,D5yVYrobXFZLCPdCYVf9ndJ1aUvjhsyazg,0.08888%,03/06/2021 16:30,24/01/2022 18:24,59.0,,,,120203362.0,,120203362.12154523,0.0
77,DCjbrhWwy92ZXHM598F5WtUsPB2z1iyphf,0.08888%,03/06/2021 16:12,24/01/2022 18:06,50.0,,,,120203362.0,,120203362.12154523,0.0
78,D5H4oSgxgSv8w8m8Eo3xxKMAHsbyzY8HjJ,0.08888%,03/06/2021 15:41,24/01/2022 18:06,51.0,,,,120203362.0,,120203362.12154523,0.0
79,DDpf4hhQ9KVDTRweFBAixuo6sjnnqjhofi,0.08888%,03/06/2021 15:18,24/01/2022 18:07,50.0,,,,120203362.0,,120203362.12154523,0.0
80,DEBKccoUBDUuqqwQiqHKbSGLfrrzADpgR1,0.08888%,03/06/2021 14:24,24/01/2022 18:06,50.0,,,,120203362.0,,120203362.12154523,0.0
81,DPPgfELC94eZuWBfXAQtMJTabpVuF33sY5,0.08872%,07/11/2017 10:13,01/01/2022 20:25,8.0,,,,120000008.0,,120000008.04121222,0.0
82,DN5Hp2kCkvCsdwr5SPmwHpiJgjKnC5wcT7,0.08859%,21/05/2021 11:05,29/05/2022 10:42,110.0,21/05/2021 11:08,07/07/2022 10:34,86.0,119812244.0,,1037933470.0412122,918121226.0412122
83,DFBx6m9YHYFHgrmYXmTh1YQTaZv7Z3Zd8x,0.08849%,03/06/2021 18:32,24/01/2022 18:24,57.0,,,,119678813.0,,119678813.24000926,0.0
84,D74RXL1RfBMzn2PcAjhCcyWtHJpmHgQtFm,0.08758%,10/12/2021 07:43,12/07/2022 02:04,847.0,07/02/2022 11:43,07/02/2022 11:43,1.0,118452681.0,,119152681.04121222,700000.0
85,DMoonjyH1aHLZc1kksmikBUhjXromn1ZN4,0.08577%,21/02/2014 23:15,01/01/2022 20:25,35.0,04/03/2014 13:02,10/03/2014 17:41,11.0,116001032.0,,172001029.4412122,55999997.0
86,DPZRf5bQmLYuhZmKsz6BqKFrNcVhuzf95j,0.08061%,29/01/2021 18:51,12/07/2022 08:06,1350.0,05/02/2021 09:20,01/07/2022 18:36,1042.0,109026480.0,,523888895.75663364,414862415.7576337
87,DTVQd2jrTzhq2Qth2vpKubzUeHGpRSCBjv,0.08007%,04/06/2021 02:53,24/03/2022 11:54,52.0,,,,108295534.0,,108295534.34384628,0.0
88,DFUBkwzf1zEhDghSUyjniNs6jA29CY82eJ,0.08005%,13/01/2021 02:45,24/06/2022 10:02,123.0,13/01/2021 16:26,19/06/2022 08:42,120.0,108267816.0,,785447948.8439286,677180132.8439286
89,DQ8KqJ4nQg4g2Qof2BsMj6HVau5N1iXLKX,0.07944%,04/06/2021 06:18,24/03/2022 15:10,48.0,,,,107440221.0,,107440220.65666632,0.0
90,DTJgZkCy5dzMUdj211VtSsoJkXUJPzNdDG,0.07862%,04/06/2021 14:40,25/03/2022 13:44,52.0,,,,106328381.0,,106328380.56105874,0.0
91,DN4VDmvdusJtL66evr1oXgmvHi37cCJDWh,0.07782%,04/06/2021 17:02,25/04/2022 21:14,47.0,,,,105252554.0,,105252554.46926408,0.0
92,DFHMxqTjbtKKfJ2uAhNMFrw1SkeWhS3meS,0.07743%,29/11/2019 18:06,02/06/2022 08:55,206.0,03/04/2020 12:08,13/04/2022 08:56,101.0,104719244.0,,1855475072.2361617,1750755827.8442805
93,D5LLkAy7aLfr4Fx8D3EuidfrziqqkjTxNq,0.07701%,13/05/2021 06:48,12/07/2022 11:57,38652.0,13/05/2021 07:04,12/07/2022 11:57,38629.0,104151596.0,,92233720368.54776,92132152994.6278
94,DG4pSs8UzxN1cMnfmMbfJzqtPzubPEojZH,0.07700%,17/08/2021 20:53,25/04/2022 21:36,43.0,,,,104141737.0,,104141736.7590878,0.0
95,DN6KNHT6BvuKNke3S9yP1M3h6TCgKCXj3m,0.07700%,16/08/2021 05:30,25/04/2022 21:36,49.0,,,,104141737.0,,104141736.7590878,0.0
96,D7fXyKdKEDhf7iDT3sSdr7Dm6W1hy4QLW3,0.07700%,16/08/2021 00:43,25/04/2022 21:36,40.0,,,,104141737.0,,104141736.7590878,0.0
97,D8hi4d1sGLz4UckRxPybJ1A61ifs8RsF1j,0.07700%,15/08/2021 18:29,25/04/2022 21:36,44.0,,,,104141737.0,,104141736.7590878,0.0
98,DHg7AcJLmRJUeiJcsSJdpoaGRm6DsittZR,0.07700%,13/08/2021 01:47,25/04/2022 21:36,42.0,,,,104141737.0,,104141736.7590878,0.0
99,DEBmRVBhnvh36axYboCnT8C7fac5hJf5XE,0.07700%,11/08/2021 21:03,25/04/2022 21:26,41.0,,,,104141737.0,,104141736.7590878,0.0
