;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;B;Balance;Label
54;DL6eP9yfnmJTVewgw63V1ueDErBjYCnE3P;182,647,850 DOGE ($11,232,541);0.1350%;27/11/2018 03:34;31/12/2021 05:31;34;04/09/2019 03:55;01/06/2022 01:13;16;182,647,850;182647850;
55;DPtCFXLTkqSzUTHCt3JEkbh8LHCxN22EUz;180,959,543 DOGE ($11,128,713) -6681527 DOGE / -74968381 DOGE;0.1338%;04/01/2022 15:36;12/07/2022 13:37;13545;05/01/2022 11:08;12/07/2022 13:37;13079;180,959,543;180959543;
56;DSS3QiBvezK8rZSS7GzDf9qyWHEdr8t2b8;180,780,767 DOGE ($11,117,719);0.1337%;14/04/2022 16:34;20/06/2022 22:02;9;;;;180,780,767;180780767;
57;DD1h9ojoyAdAGLXaqgqZP3j86AtxZs6jCn;176,644,459 DOGE ($10,863,343);0.1306%;16/07/2019 14:49;31/12/2021 19:35;371;16/07/2019 15:54;30/01/2021 09:07;361;176,644,459;176644459;
;wallet: 2193596;;;;;;;;;;;
58;DEXZ68xXMW8VX2UGP9kbDgyduEZwacGmMc;175,676,873 DOGE ($10,803,838) +7166563 DOGE / +5809306 DOGE;0.1299%;04/05/2021 18:47;09/07/2022 21:22;1262;05/05/2021 01:45;01/07/2022 19:19;947;175,676,873;175676873;
;wallet: 205725;;;;;;;;;;;
59;DFfEX64RwVysrk65F47GoSiuc38hLvxnjX;169,862,347 DOGE ($10,446,254);0.1256%;05/01/2021 11:32;02/03/2022 17:51;20;05/01/2021 11:35;08/06/2022 23:43;6;169,862,347;169862347;
60;DCLHWoDUWkfM6ejSBPnV64wBgcDnn8twEp;164,999,999 DOGE ($10,147,228) +164999999 DOGE / +164999999 DOGE;0.1220%;08/07/2022 08:26;08/07/2022 08:26;1;;;;164,999,999;164999999;
61;DR2SpAVZPwJDVxJgTkJvGej3HC5aLBhQBM;163,708,101 DOGE ($10,067,778);0.1210%;26/03/2017 11:47;01/01/2022 20:20;135;26/03/2017 18:59;18/03/2018 16:49;119;163,708,101;163708101;Exchange
;wallet: Kraken;;;;;;;;;;;
62;DEnzooCbsBkUjqKJJh7SvWfSwKxBhbqyGi;162,867,655 DOGE ($10,016,092);0.1204%;10/02/2022 16:32;20/06/2022 22:02;8;;;;162,867,655;162867655;
63;DLPaeuaJi2JLUcvYHD4ddLxadwnGaVSt4p;162,346,418 DOGE ($9,984,037) -18149537 DOGE / +145866685 DOGE;0.1200%;11/02/2021 07:27;12/07/2022 13:46;259988;11/02/2021 07:51;12/07/2022 13:46;259377;162,346,418;162346418;
64;DLDPcmz1omzix37UPwXCfZvLjAEcJ2yLHb;161,226,551 DOGE ($9,915,167);0.1192%;13/05/2022 14:19;20/06/2022 22:02;6;20/06/2022 03:04;20/06/2022 22:30;5;161,226,551;161226551;
;wallet: 3068456;;;;;;;;;;;
65;DF1R6bUwDcYsaqZr6bKsrmtVSnwGpQeyLn;161,089,350 DOGE ($9,906,729);0.1191%;17/10/2019 22:47;12/07/2022 13:06;1532;18/10/2019 01:31;06/07/2022 09:24;1478;161,089,350;161089350;
;wallet: 2034954;;;;;;;;;;;
66;DE1ekWYKnnTRn9vctx4UDgPZczW5RdAb3S;159,687,723 DOGE ($9,820,531);0.1181%;19/12/2019 13:09;07/06/2022 05:38;979;03/01/2020 14:04;28/05/2022 07:53;531;159,687,723;159687723;
;wallet: 2712684;;;;;;;;;;;
67;DSVE8hQgj8XmkH5ixLJ23utaUHzRZY6MRF;150,000,007 DOGE ($9,224,753);0.1109%;04/02/2014 07:14;01/01/2022 20:20;23;;;;150,000,007;150000007;
68;DEHiiX3YuFKzRFbXQLgJ6wtqgmAUN8EZaG;149,924,195 DOGE ($9,220,091);0.1109%;28/03/2022 18:09;01/04/2022 22:37;6;;;;149,924,195;149924195;
69;DQ5xwLot4js7ehQ9L65iq5jxWz4DxNvhQ9;146,402,402 DOGE ($9,003,506);0.1082%;17/03/2019 06:13;01/01/2022 20:20;20;17/03/2019 06:18;30/01/2021 03:27;5;146,402,402;146402402;
70;DEN9enVfqSNXRz5guvEzpvQeKEx82XbJyu;143,096,272 DOGE ($8,800,185);0.1058%;07/07/2018 06:01;01/01/2022 20:20;14;;;;143,096,272;143096272;
71;DRVd3RRmcUh7w8ra2HDkvNiBpYy4u4yKs1;131,942,336 DOGE ($8,114,236) / -9874216 DOGE;0.09755%;06/05/2021 09:30;10/06/2022 12:53;1130;09/05/2021 01:16;01/07/2022 19:19;823;131,942,336;131942336;
;wallet: 205725;;;;;;;;;;;
72;DMoonzxadHZJmgP6cCRvFZvec8wJb67j38;130,000,026 DOGE ($7,994,787);0.09612%;04/07/2014 11:30;01/01/2022 20:25;26;12/01/2020 00:47;18/08/2020 22:11;4;130,000,026;130000026;
73;DHKM6NDUUv9kaHAGi1QU7MRBNKfQiAdP3F;121,621,885 DOGE ($7,479,545);0.08992%;12/05/2014 06:57;23/06/2022 00:00;549;;;;121,621,885;121621885;
74;D7J8gJgs79VsFYkL37c1vA3vdUNhvKVLdG;120,630,125 DOGE ($7,418,554) +314531 DOGE / +11341811 DOGE;0.08919%;07/12/2021 11:09;11/07/2022 12:22;111;15/12/2021 14:28;11/07/2022 11:14;91;120,630,125;120630125;
75;DFGBxpZncATmjHgKgt527yAPJxAWP6LFWC;120,379,269 DOGE ($7,403,126);0.08901%;04/06/2021 00:29;24/01/2022 19:20;49;;;;120,379,269;120379269;
76;DCTpBbA5HUgcf39219AWtZuf76pNxM1m4e;120,203,362 DOGE ($7,392,308);0.08888%;03/06/2021 18:32;24/01/2022 18:24;49;;;;120,203,362;120203362;
77;D5yVYrobXFZLCPdCYVf9ndJ1aUvjhsyazg;120,203,362 DOGE ($7,392,308);0.08888%;03/06/2021 16:30;24/01/2022 18:24;59;;;;120,203,362;120203362;
78;DCjbrhWwy92ZXHM598F5WtUsPB2z1iyphf;120,203,362 DOGE ($7,392,308);0.08888%;03/06/2021 16:12;24/01/2022 18:06;50;;;;120,203,362;120203362;
79;D5H4oSgxgSv8w8m8Eo3xxKMAHsbyzY8HjJ;120,203,362 DOGE ($7,392,308);0.08888%;03/06/2021 15:41;24/01/2022 18:06;51;;;;120,203,362;120203362;
80;DDpf4hhQ9KVDTRweFBAixuo6sjnnqjhofi;120,203,362 DOGE ($7,392,308);0.08888%;03/06/2021 15:18;24/01/2022 18:07;50;;;;120,203,362;120203362;
81;DEBKccoUBDUuqqwQiqHKbSGLfrrzADpgR1;120,203,362 DOGE ($7,392,308);0.08888%;03/06/2021 14:24;24/01/2022 18:06;50;;;;120,203,362;120203362;
82;DPPgfELC94eZuWBfXAQtMJTabpVuF33sY5;120,000,008 DOGE ($7,379,802);0.08872%;07/11/2017 10:13;01/01/2022 20:25;8;;;;120,000,008;120000008;
83;DN5Hp2kCkvCsdwr5SPmwHpiJgjKnC5wcT7;119,812,244 DOGE ($7,368,255) -48134274 DOGE / -56274665 DOGE;0.08859%;21/05/2021 11:05;29/05/2022 10:42;110;21/05/2021 11:08;07/07/2022 10:34;86;119,812,244;119812244;
;wallet: 3377817;;;;;;;;;;;
