;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;Balance;Label
60;18saWjMCchDTGWunefuDJSWNdz4p6KtfBL;12,933 BTC ($256,646,959) / +3060 BTC;0.06774%;04/12/2018 20:03;17/06/2022 13:20;100;;;;12,933 ;
61;1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv;12,854 BTC ($255,081,989) / +2981 BTC;0.06733%;04/12/2018 20:03;22/06/2022 00:00;91;;;;12,854 ;
62;3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1;12,549 BTC ($249,031,486) -82.25 BTC / -8571 BTC;0.06573%;01/04/2021 00:50;09/07/2022 05:10;199;13/05/2021 23:28;06/07/2022 00:07;192;12,549 ;Exchange
;wallet: OKEX-coldwallet;;;;;;;;;;
63;bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50;12,392 BTC ($245,927,678) +220.04 BTC / +900.53 BTC;0.06491%;25/07/2021 16:18;12/07/2022 05:22;345;;;;12,392 ;
64;bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9;12,270 BTC ($243,505,548) +1300 BTC / -5730 BTC;0.06427%;04/03/2022 10:50;12/07/2022 09:23;76;04/03/2022 11:15;12/07/2022 03:22;60;12,270 ;
65;13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp;12,189 BTC ($241,891,050) / +2316 BTC;0.06385%;04/12/2018 20:00;22/06/2022 03:12;92;;;;12,189 ;
66;1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG;12,024 BTC ($238,612,632) -1015 BTC / -3645 BTC;0.06298%;15/12/2021 21:53;11/07/2022 22:53;84;16/12/2021 01:54;08/07/2022 00:53;63;12,024 ;
67;3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3R 2-of-3;12,000 BTC ($238,138,765);0.06285%;27/04/2021 05:19;17/06/2022 02:55;36;27/04/2021 11:11;12/04/2022 15:24;11;12,000 ;
68;15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv;12,000 BTC ($238,138,681) / +12000 BTC;0.06285%;16/06/2022 21:42;08/07/2022 18:14;6;18/06/2022 08:39;18/06/2022 08:39;2;12,000 ;
69;bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q;11,992 BTC ($237,981,958) -1496 BTC / -4986 BTC;0.06281%;20/10/2020 13:06;27/06/2022 10:54;221;21/10/2020 06:38;08/07/2022 14:59;175;11,992 ;
;wallet: 68700104;;;;;;;;;;
70;1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb;11,400 BTC ($226,228,432);0.05971%;07/01/2018 13:57;17/06/2022 02:55;65;11/10/2019 10:09;09/01/2021 13:48;6;11,400 ;
71;3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh;11,102 BTC ($220,319,430) +1999 BTC / -7201 BTC;0.05815%;22/01/2019 18:38;07/07/2022 16:07;207;24/01/2019 21:11;06/07/2022 00:07;178;11,102 ;Exchange
;wallet: OKEX-coldwallet;;;;;;;;;;
72;3EEDeu13ex19AqQBTZStVsAFy6j1gRwgWc 2-of-3;11,062 BTC ($219,517,792);0.05794%;09/06/2021 17:47;27/06/2022 15:57;40;10/06/2021 14:37;30/06/2022 21:57;33;11,062 ;
;wallet: 77374090;;;;;;;;;;
73;1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC;10,771 BTC ($213,740,078);0.05642%;09/08/2011 00:14;17/06/2022 02:55;94;;;;10,771 ;
